"nv","lat","lon","Location Name","Location Type","Clasificación"
0,-7.6875,107.875,"Cipeer","CITY","Interés"
0,-7.6875,108.125,"Mekarsari","CITY","Interés"
0,-7.6875,108.375,"Pasirbuleud","CITY","Interés"
0,-7.6875,108.625,"Bulaklaut","CITY","Interés"
0,-7.6875,108.875,"Kali Arusgede","LANDMARK","Control"
0,-7.3125,106.375,"Ujung Panarikan","LANDMARK","Interés"
0,-7.3125,106.625,"Cibebos","CITY","Interés"
0,-7.3125,106.875,"Malingping","CITY","Interés"
0,-7.3125,107.125,"Tangsi","CITY","Interés"
0,-7.3125,108.125,"Ci Kasasah","LANDMARK","Interés"
0,-7.3125,108.375,"Turalah","CITY","Interés"
0,-7.3125,108.625,"Cikoneng","CITY","Control"
0,-7.3125,108.875,"Tetegong","CITY","Control"
0,-6.9375,106.375,"Citarate Satu","CITY","Interés"
0,-6.9375,106.625,"Limusnunggal","CITY","Interés"
0,-6.9375,106.875,"Pasirbadak","CITY","Interés"
0,-6.9375,107.125,"Sukahati","CITY","Interés"
0,-6.9375,107.375,"Pasir Kolotok","LANDMARK","Interés"
0,-6.9375,107.625,"Horison Bandung","POI","Interés"
0,-6.9375,107.875,"Gunung Kareumbi","LANDMARK","Interés"
0,-6.9375,108.125,"Pasirgebang","CITY","Interés"
0,-6.9375,108.625,"Desa Cikubangmulya","UNIT","Interés"
0,-6.9375,108.875,"Desa Jagapura","UNIT","Control"
0,-6.5625,105.625,"Kanyere","CITY","Interés"
0,-6.5625,105.875,"Talantang","CITY","Interés"
0,-6.5625,106.125,"Desa Kadurahayu","UNIT","Interés"
0,-6.5625,106.375,"Sirnamanah","CITY","Interés"
0,-6.5625,106.625,"Gunungsodong","CITY","Interés"
0,-6.5625,106.875,"Cicadas","CITY","Interés"
0,-6.5625,107.125,"Cijejed","CITY","Interés"
0,-6.5625,107.375,"Tegallaja","CITY","Interés"
0,-6.5625,107.625,"Jalupang","CITY","Interés"
0,-6.5625,108.375,"Dusun Tiga","CITY","Interés"
0,-6.1875,105.875,"Binglu","CITY","Interés"
0,-6.1875,106.125,"Tamanbarang","CITY","Interés"
0,-6.1875,106.375,"Songgomjaya","CITY","Interés"
0,-6.1875,106.625,"Karawaci Ilir","CITY","Interés"
0,-6.1875,106.875,"Rawa Kerbo","CITY","Control"
0,-6.1875,107.125,"Bulaksoda","CITY","Interés"
0,-6.1875,107.375,"Bodemanoyib","CITY","Interés"
0,-6.1875,107.625,"Kali Bawah","LANDMARK","Interés"
0,-7.3125,107.375,"Gunung Kui","LANDMARK","Interés"
0,-7.3125,107.625,"Puncak Soleh","LANDMARK","Interés"
0,-7.3125,107.875,"Gunung Cikuray","LANDMARK","Interés"
0,-6.9375,108.375,"Pendetan","CITY","Interés"
0,-6.5625,107.875,"Babakan Tengah","CITY","Control"
0,-6.5625,108.125,"Rawa Ayunayunan","LANDMARK","Interés"
0,8.4375,-82.875,"Finca Peral","POI","Interés"
0,8.8125,-83.625,"Estero China","LANDMARK","Interés"
0,8.8125,-83.375,"Finca Aguacate","POI","Interés"
0,8.8125,-82.875,"Providencia","CITY","Interés"
0,9.1875,-83.625,"Bolivia","CITY","Interés"
0,9.1875,-83.375,"Quebrada Achiote","LANDMARK","Interés"
0,9.5625,-85.125,"Playa Balsitas","LANDMARK","Interés"
0,9.5625,-84.625,"Roca Escalla","LANDMARK","Interés"
0,9.5625,-84.375,"Quebrada Maestro","LANDMARK","Interés"
0,9.5625,-84.125,"Río Negro","LANDMARK","Interés"
0,9.5625,-83.875,"Providencia","CITY","Interés"
0,9.5625,-83.375,"Urinama","CITY","Interés"
0,9.5625,-82.875,"Río Yorkín","LANDMARK","Interés"
0,9.5625,-82.625,"Mata de Limón","CITY","Interés"
0,9.9375,-85.625,"Ligia","CITY","Interés"
0,9.9375,-85.375,"Quebrada Juano","LANDMARK","Interés"
0,9.9375,-85.125,"Quebrada Encanto","LANDMARK","Interés"
0,9.9375,-84.875,"Punta Cirial","LANDMARK","Interés"
0,9.9375,-84.625,"Poza Redonda","CITY","Interés"
0,9.9375,-84.375,"Universidad Técnica Nacional","POI","Interés"
0,9.9375,-84.125,"Anonos","CITY","Interés"
0,9.9375,-83.875,"Río Yerbabuena","LANDMARK","Interés"
0,9.9375,-83.625,"Quebrada Pavones","LANDMARK","Interés"
0,9.9375,-83.375,"Akata","POI","Interés"
0,10.3125,-85.625,"Quebrada Molino","LANDMARK","Interés"
0,10.3125,-85.375,"Cerro Boquete","LANDMARK","Interés"
0,10.3125,-85.125,"Las Lomas","LANDMARK","Interés"
0,10.3125,-84.875,"Cuesta San Pedro","LANDMARK","Interés"
0,10.3125,-84.625,"Cerro Navarra","LANDMARK","Interés"
0,10.3125,-84.375,"Finca Capulines","POI","Interés"
0,10.3125,-84.125,"Finca Mirador","POI","Interés"
0,10.3125,-83.875,"Finca Zona Ocho","CITY","Interés"
0,10.3125,-83.625,"Hacienda Los Corrales","POI","Interés"
0,10.3125,-83.375,"Caño Soto","LANDMARK","Interés"
0,10.6875,-85.375,"Finca Zelandia","POI","Interés"
0,10.6875,-85.125,"La Giganta","POI","Interés"
0,10.6875,-84.875,"Triunfo","CITY","Interés"
0,10.6875,-84.625,"Finca Dos Amigos","POI","Interés"
0,10.6875,-84.375,"Caño Pavas","LANDMARK","Interés"
0,10.6875,-83.625,"Caño Los Tiesos","LANDMARK","Interés"
0,11.0625,-85.625,"Liceo Experimental Bilingüe de La Cruz","POI","Interés"
0,11.0625,-85.375,"Quebrada Grande","LANDMARK","Interés"
0,11.0625,-84.625,"Caño Las Cuacas","LANDMARK","Interés"
0,8.4375,-83.375,"Ave de Azul de la Osa","POI","Interés"
0,8.8125,-83.125,"Anguciana","POI","Interés"
0,9.1875,-83.125,"Río Deuí","LANDMARK","Interés"
0,9.5625,-83.625,"Cerros Cuericí","LANDMARK","Interés"
0,9.5625,-83.125,"Cerro Bakexsuvi","LANDMARK","Interés"
0,9.9375,-83.125,"Finca San Francisco","POI","Interés"
0,10.6875,-85.625,"Triunfo","CITY","Interés"
0,10.6875,-84.125,"Quebrada Caida de Agua","LANDMARK","Interés"
0,10.6875,-83.875,"Tigra","CITY","Interés"
0,25.3125,91.625,"Mawsynrām","CITY","Control"
0,-18.1875,-70.375,"Hospicio","CITY","Control"
0,29.4375,103.375,"Shandinggang","CITY","Control"
0,26.8125,70.875,"Jaisalmer Airport","POI","Control"
